UserID,ItemID,Rating
A105TOJ6LTVMBG,B00000J1V5,4.0
A253X5E4L0DM0W,B00000J1V5,5.0
A31GHUVQ0N2NXH,B00000J1V5,5.0
A14JBDSWKPKTZA,B00000J1V5,5.0
APXN17MQLCH7O,B00000J1V5,5.0
A3QX0ERX4D03TF,B00000J1V5,5.0
A3EV8JA23IUP7O,B00000J1V5,5.0
A13WREJ05GMRA6,B00000J1V5,3.0
A20NL7QAHXDCU5,B00000J1V5,5.0
A204ETWOV23HO4,B00000J1V5,5.0
A2YOI67EI4N4D,B00000J1V5,5.0
A1PG70NH85K859,B00000J1V5,5.0
A2BCB516A8HV6K,B00000J1V5,5.0
A3N8O68DOEQ2FE,B00000J1V5,5.0
A1J9LVA298D5OF,B00000J1V5,5.0
A3ANRNLZ2LVM8J,B00000J1V5,5.0
A2OZ5ERO1D2YOX,B00000J1V5,5.0
A1KJRNFAO7K5S5,B00000J1V5,5.0
A10CRW7XRJBJ2G,B00000J1V5,5.0
A18Q0YU1FMO7TE,B00000J1V5,3.0
A2LZSPR192KEX6,B00000J1V5,5.0
A1OX19PDA486CD,B00000J1V5,5.0
ADWUJZ8865J2A,B00000J1V5,5.0
A1KAE1LOY4TBSV,B00000J1V5,5.0
A3J8A5L5AF5TX9,B00000J1V5,5.0
ABU4LUKJU2QOY,B00000J1V5,5.0
AKYDGCKCY7H9F,B00000J1V5,5.0
A14LG64GIVZIGS,B00000J1V5,5.0
A2HRHF83I3NDGT,B00000J1V5,5.0
A2MBSC4S2PJNRD,B00001P4ZH,5.0
A3LWC833HQIG7J,B00001P4ZH,5.0
A3AGSFLNNIFKNJ,B00001P4ZH,5.0
A2PC9ZZIFV31B1,B00001P4ZH,5.0
AJCHGS1GND4OA,B00001P4ZH,5.0
AQ9O2ACE8C9WS,B00001P4ZH,4.0
A31F722DD3E761,B00001P4ZH,5.0
A1591PJYM84XQT,B00001P4ZH,5.0
A823L2YB2FKBC,B00001P4ZH,5.0
A54S9CIUV5VNB,B00001P4ZH,4.0
A1L7M2JXN4EZCR,B00001P4ZH,5.0
A118A49ORGNEUM,B00001P4ZH,3.0
A29PQH8RIUG4KZ,B00001P4ZH,5.0
A1XE3M22N91451,B00001P4ZH,4.0
A313H6238N589,B00001P4ZH,4.0
A3SDJ70H00OQCJ,B00001P4ZH,4.0
A2RI4QE6EO29CA,B00001P4ZH,5.0
A2WB7LZ595CR50,B00001P4ZH,4.0
ANV2AKYYI04EU,B00001P4ZH,1.0
A2B54000WDS6D2,B00001P4ZH,3.0
A2MY9VXHZYAHUZ,B00001P4ZH,5.0
A356RFKNIG043B,B00001P4ZH,5.0
A1C0WNM0G18HJ0,B00001P4ZH,5.0
AW6A4PPENVZY3,B00001P4ZH,5.0
A7829CRHD25WU,B00001P4ZH,4.0
A99TMXJYXUL55,B00001P4ZH,3.0
A149RNR5RH19YY,B00001P4ZH,5.0
A2SEQUFN8W7D07,B00001P4ZH,5.0
A22IDP8YERZ79X,B00001P4ZH,5.0
AC84VPM3281GV,B00001P4ZH,5.0
A38FEJ8BPFY320,B00001P4ZH,4.0
A3LYRF8UZ0W182,B00001P4ZH,4.0
AAW4JYVF4B845,B00001P4ZH,5.0
A11VI2ORDN0AHS,B00001P4ZH,5.0
A32LX4XJ2LU740,B00001P4ZH,5.0
A3TDYJPBZ7DXE7,B00001P4ZH,5.0
A1J75JJ0Q2OEJN,B00001P4ZH,5.0
A3UC3YT2E65LZO,B00001P4ZH,5.0
A2L7WYA5OENV03,B00001P4ZH,4.0
A3J8A5L5AF5TX9,B00001P4ZH,4.0
A4OPNK2K0EDLG,B00001P4ZH,5.0
A16QY8VBHHP9MT,B00001P4ZH,5.0
A6FIAB28IS79,B00001P4ZH,3.0
A2RWHTNM5P3I8Y,B00001P4ZH,5.0
A1A629D04LRFUD,B00001P4ZH,5.0
A35TD8QAUMV0DB,B00001P4ZH,5.0
A3077MQTAKOVFZ,B00001P4ZH,5.0
A1FF2PLA84KNAE,B00001P4ZH,4.0
A2Y7D6A2W3GY6V,B00001P4ZH,5.0
A2TUXUOKJHAYCI,B00001WRSJ,5.0
A3RGHO0Q938FRS,B00001WRSJ,5.0
A1LEMDY6BDO34U,B00001WRSJ,5.0
A1AHII2R0R6FAE,B00001WRSJ,5.0
A4GI4654JA8NK,B00001WRSJ,5.0
